Timestamp,What is your current role?,"Do you prefer to do hands-on session or more of theory with Q&A?
Note: With hands-on session, we might not be able to cover all topics",How familiar are you with Databricks?,"Exercise:
The most interesting city that you have visited and rate it as per scale of 1 to 5.

1: Lowest
5: Highest

Sample response: Amsterdam - 5"
4/2/2024 13:50:50,Data Engineer,Hands-on session,"Familiar with Unity Catalog, Delta Live Table and Databricks SQL",Amsterdam - 5
4/2/2024 13:51:54,Data Architect,Theory with Q&A,Not familiar with the Databricks,Paris - 2
4/4/2024 13:03:56,Administrator,Theory with Q&A,Limited usage with basics of Spark,Berlin - 5
4/4/2024 13:05:14,BI Business Partner,Hands-on session,"Familiar with Unity Catalog, Delta Live Table and Databricks SQL",Rio de Janeiro
4/4/2024 13:05:25,Data Engineer,Hands-on session,Not familiar with the Databricks,4
4/4/2024 13:05:37,BI Engineer/Developer,Theory with Q&A,Limited usage with basics of Spark,Prague - 5
4/4/2024 13:06:39,Data Engineer,Hands-on session,Limited usage with basics of Spark,Berlin - 4
4/4/2024 13:06:43,Data Analyst,Hands-on session,Not familiar with the Databricks,Istanbul - 5
4/4/2024 13:07:29,Data Engineer,Theory with Q&A,Limited usage with basics of Spark,Shanghai - 5
4/4/2024 13:08:57,Application manager,Hands-on session,Limited usage with basics of Spark,London - 3
4/4/2024 13:08:59,Data Analyst,Hands-on session,Limited usage with basics of Spark,Lagos-5
4/4/2024 13:09:34,Data Engineer,Hands-on session,Not familiar with the Databricks,5
4/4/2024 13:11:06,Data Architect,Hands-on session,Limited usage with basics of Spark,2
4/4/2024 13:11:32,Data Architect,Hands-on session,Limited usage with basics of Spark,5
4/4/2024 13:12:19,Data Analyst,Hands-on session,Limited usage with basics of Spark,Barcelona - 5
4/4/2024 13:12:20,Data Engineer,Hands-on session,Limited usage with basics of Spark,4
4/4/2024 13:12:45,BI Engineer/Developer,Hands-on session,Not familiar with the Databricks,Melbourne - 5
4/4/2024 13:12:51,Application manager / ops engineer,Hands-on session,Not familiar with the Databricks,Florence -5
4/4/2024 13:13:03,Data Architect,Hands-on session,Not familiar with the Databricks,Vienna -5
4/4/2024 13:13:36,Data Engineer,Hands-on session,Limited usage with basics of Spark,San Francisco - 5
4/4/2024 13:14:33,Data Scientist,Hands-on session,Limited usage with basics of Spark,Amsterdam - 1
4/4/2024 13:16:53,Data Engineer,Hands-on session,Not familiar with the Databricks,"Kiev, Odessa"
4/4/2024 13:52:07,Data Engineer,Testjr,"Familiar with Unity Catalog, Delta Live Table and Databricks SQL",3
